opcode,mnemonic,length,cycles,flags,format
114,"LD (HL),D",1,8,"- - - -","LD (HL),D"
115,"LD (HL),E",1,8,"- - - -","LD (HL),E"
116,"LD (HL),H",1,8,"- - - -","LD (HL),H"
117,"LD (HL),L",1,8,"- - - -","LD (HL),L"
118,"HALT",1,4,"- - - -","HALT"
119,"LD (HL),A",1,8,"- - - -","LD (HL),A"
120,"LD A,B",1,4,"- - - -","LD A,B"
121,"LD A,C",1,4,"- - - -","LD A,C"
122,"LD A,D",1,4,"- - - -","LD A,D"
123,"LD A,E",1,4,"- - - -","LD A,E"
124,"LD A,H",1,4,"- - - -","LD A,H"
125,"LD A,L",1,4,"- - - -","LD A,L"
126,"LD A,(HL)",1,8,"- - - -","LD A,(HL)"
127,"LD A,A",1,4,"- - - -","LD A,A"
128,"ADD A,B",1,4,"Z 0 H C","ADD A,B"
129,"ADD A,C",1,4,"Z 0 H C","ADD A,C"
130,"ADD A,D",1,4,"Z 0 H C","ADD A,D"
131,"ADD A,E",1,4,"Z 0 H C","ADD A,E"
132,"ADD A,H",1,4,"Z 0 H C","ADD A,H"
133,"ADD A,L",1,4,"Z 0 H C","ADD A,L"
134,"ADD A,(HL)",1,8,"Z 0 H C","ADD A,(HL)"
135,"ADD A,A",1,4,"Z 0 H C","ADD A,A"
136,"ADC A,B",1,4,"Z 0 H C","ADC A,B"
137,"ADC A,C",1,4,"Z 0 H C","ADC A,C"
138,"ADC A,D",1,4,"Z 0 H C","ADC A,D"
139,"ADC A,E",1,4,"Z 0 H C","ADC A,E"
140,"ADC A,H",1,4,"Z 0 H C","ADC A,H"
141,"ADC A,L",1,4,"Z 0 H C","ADC A,L"
142,"ADC A,(HL)",1,8,"Z 0 H C","ADC A,(HL)"
143,"ADC A,A",1,4,"Z 0 H C","ADC A,A"
144,"SUB A,B",1,4,"Z 1 H C","SUB A,B"
145,"SUB A,C",1,4,"Z 1 H C","SUB A,C"
146,"SUB A,D",1,4,"Z 1 H C","SUB A,D"
147,"SUB A,E",1,4,"Z 1 H C","SUB A,E"
148,"SUB A,H",1,4,"Z 1 H C","SUB A,H"
149,"SUB A,L",1,4,"Z 1 H C","SUB A,L"
150,"SUB A,(HL)",1,8,"Z 1 H C","SUB A,(HL)"
151,"SUB A,A",1,4,"Z 1 H C","SUB A,A"
152,"SBC A,B",1,4,"Z 1 H C","SBC A,B"
153,"SBC A,C",1,4,"Z 1 H C","SBC A,C"
154,"SBC A,D",1,4,"Z 1 H C","SBC A,D"
155,"SBC A,E",1,4,"Z 1 H C","SBC A,E"
156,"SBC A,H",1,4,"Z 1 H C","SBC A,H"
157,"SBC A,L",1,4,"Z 1 H C","SBC A,L"
158,"SBC A,(HL)",1,8,"Z 1 H C","SBC A,(HL)"
159,"SBC A,A",1,4,"Z 1 H C","SBC A,A"
160,"AND A,B",1,4,"Z 0 1 0","AND A,B"
161,"AND A,C",1,4,"Z 0 1 0","AND A,C"
162,"AND A,D",1,4,"Z 0 1 0","AND A,D"
163,"AND A,E",1,4,"Z 0 1 0","AND A,E"
164,"AND A,H",1,4,"Z 0 1 0","AND A,H"
165,"AND A,L",1,4,"Z 0 1 0","AND A,L"
166,"AND A,(HL)",1,8,"Z 0 1 0","AND A,(HL)"
167,"AND A,A",1,4,"Z 0 1 0","AND A,A"
168,"XOR A,B",1,4,"Z 0 0 0","XOR A,B"
169,"XOR A,C",1,4,"Z 0 0 0","XOR A,C"
170,"XOR A,D",1,4,"Z 0 0 0","XOR A,D"
171,"XOR A,E",1,4,"Z 0 0 0","XOR A,E"
172,"XOR A,H",1,4,"Z 0 0 0","XOR A,H"
173,"XOR A,L",1,4,"Z 0 0 0","XOR A,L"
174,"XOR A,(HL)",1,8,"Z 0 0 0","XOR A,(HL)"
175,"XOR A,A",1,4,"Z 0 0 0","XOR A,A"
176,"OR A,B",1,4,"Z 0 0 0","OR A,B"
177,"OR A,C",1,4,"Z 0 0 0","OR A,C"
178,"OR A,D",1,4,"Z 0 0 0","OR A,D"
179,"OR A,E",1,4,"Z 0 0 0","OR A,E"
180,"OR A,H",1,4,"Z 0 0 0","OR A,H"
181,"OR A,L",1,4,"Z 0 0 0","OR A,L"
182,"OR A,(HL)",1,8,"Z 0 0 0","OR A,(HL)"
183,"OR A,A",1,4,"Z 0 0 0","OR A,A"
184,"CP A,B",1,4,"Z 1 H C","CP A,B"
185,"CP A,C",1,4,"Z 1 H C","CP A,C"
186,"CP A,D",1,4,"Z 1 H C","CP A,D"
187,"CP A,E",1,4,"Z 1 H C","CP A,E"
188,"CP A,H",1,4,"Z 1 H C","CP A,H"
189,"CP A,L",1,4,"Z 1 H C","CP A,L"
190,"CP A,(HL)",1,8,"Z 1 H C","CP A,(HL)"
